# Tracker With No Misalignments
#
#
#
 TABLE TrkAlignTracker
#row, strawid, dx, dy, dz, rx, ry, rz
69, 11_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 11_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
71, 11_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
72, 12_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
73, 12_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
74, 12_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 12_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
76, 12_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
77, 12_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
78, 13_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
79, 13_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
80, 13_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
81, 13_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
82, 13_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
83, 13_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
84, 14_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
85, 14_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
86, 14_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
87, 14_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
88, 14_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
89, 14_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
90, 15_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
91, 15_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
92, 15_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
93, 15_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
94, 15_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
95, 15_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
96, 16_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
97, 16_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
98, 16_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
99, 16_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 16_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
101, 16_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
102, 17_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
103, 17_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
104, 17_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
105, 17_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
106, 17_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
107, 17_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
108, 18_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
109, 18_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
110, 18_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
111, 18_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
112, 18_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
113, 18_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
114, 19_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
115, 19_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
116, 19_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
117, 19_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
118, 19_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
119, 19_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
120, 20_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
121, 20_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
122, 20_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
123, 20_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
124, 20_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
125, 20_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
126, 21_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
127, 21_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
128, 21_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
129, 21_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
130, 21_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
131, 21_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
132, 22_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
133, 22_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
134, 22_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
135, 22_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
136, 22_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
137, 22_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
138, 23_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
139, 23_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
140, 23_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
141, 23_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
142, 23_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
143, 23_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
144, 24_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
145, 24_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
146, 24_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
147, 24_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
148, 24_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
149, 24_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
150, 25_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
151, 25_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
152, 25_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
153, 25_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
154, 25_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
155, 25_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
156, 26_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
157, 26_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
158, 26_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
159, 26_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
160, 26_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
161, 26_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
162, 27_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
163, 27_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
164, 27_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
165, 27_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
166, 27_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
167, 27_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
168, 28_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
169, 28_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
170, 28_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
171, 28_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
172, 28_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
173, 28_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
174, 29_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
175, 29_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
176, 29_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
177, 29_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
178, 29_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
179, 29_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
180, 30_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
181, 30_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
182, 30_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
183, 30_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
184, 30_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
185, 30_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
186, 31_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
187, 31_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
188, 31_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
189, 31_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
190, 31_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
191, 31_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
192, 32_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
193, 32_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
194, 32_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
195, 32_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
196, 32_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
197, 32_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
198, 33_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
199, 33_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
200, 33_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
201, 33_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
202, 33_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
203, 33_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
204, 34_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
205, 34_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
206, 34_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
207, 34_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
208, 34_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
209, 34_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
210, 35_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
211, 35_1_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
212, 35_2_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
213, 35_3_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
214, 35_4_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
215, 35_5_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
#
#
#
TABLE TrkAlignStraw
#index,StrawId,wire_cal_dV,wire_cal_dW,wire_hv_dV,wire_hv_dW,straw_cal_dV,straw_cal_dW,straw_hv_dV,straw_hv_dW
0, 0_0_0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 0_0_1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0_0_2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 0_0_3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 0_0_4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 0_0_5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 0_0_6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
7, 0_0_7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 0_0_8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9, 0_0_9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10, 0_0_10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
11, 0_0_11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
12, 0_0_12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
13, 0_0_13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
14, 0_0_14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 0_0_15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
16, 0_0_16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
17, 0_0_17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
18, 0_0_18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
19, 0_0_19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 0_0_20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
21, 0_0_21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
22, 0_0_22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
23, 0_0_23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
24, 0_0_24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 0_0_25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0_0_26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
27, 0_0_27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
28, 0_0_28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
29, 0_0_29, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
30, 0_0_30, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
31, 0_0_31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
32, 0_0_32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0_0_33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0_0_34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
35, 0_0_35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
36, 0_0_36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
37, 0_0_37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
38, 0_0_38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
39, 0_0_39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
40, 0_0_40, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
41, 0_0_41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
42, 0_0_42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
43, 0_0_43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
44, 0_0_44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
45, 0_0_45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
46, 0_0_46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
47, 0_0_47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
48, 0_0_48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
49, 0_0_49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 0_0_50, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
51, 0_0_51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0_0_52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
53, 0_0_53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
54, 0_0_54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
55, 0_0_55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
56, 0_0_56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
57, 0_0_57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
58, 0_0_58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
59, 0_0_59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 0_0_60, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
61, 0_0_61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
62, 0_0_62, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
63, 0_0_63, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
64, 0_0_64, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
65, 0_0_65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
66, 0_0_66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
67, 0_0_67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
68, 0_0_68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
69, 0_0_69, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
70, 0_0_70, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
71, 0_0_71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
72, 0_0_72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
73, 0_0_73, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
74, 0_0_74, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 0_0_75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
76, 0_0_76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
77, 0_0_77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
