TABLE CRVTime
#channel,timeOffset
0,-1.130
2,-1.130
4,-1.130
6,-1.130
8,-1.130
10,-1.130
12,-1.130
14,-1.130
16,-1.130
18,-1.130
20,-1.130
22,-1.130
24,-1.130
26,-1.130
28,-1.130
30,-1.130
32,-1.130
34,-1.130
36,-1.130
38,-1.130
40,-1.130
42,-1.130
44,-1.130
46,-1.130
48,-1.130
50,-1.130
52,-1.130
54,-1.130
56,-1.130
58,-1.130
60,-1.130
62,-1.130
64,-1.130
66,-1.130
68,-1.130
70,-1.130
72,-1.130
74,-1.130
76,-1.130
78,-1.130
80,-1.130
82,-1.130
84,-1.130
86,-1.130
88,-1.130
90,-1.130
92,-1.130
94,-1.130
96,-1.130
98,-1.130
100,-1.130
102,-1.130
104,-1.130
106,-1.130
108,-1.130
110,-1.130
112,-1.130
114,-1.130
116,-1.130
118,-1.130
120,-1.130
122,-1.130
124,-1.130
126,-1.130
128,-0.223
130,-0.223
132,-0.223
134,-0.223
136,-0.223
138,-0.223
140,-0.223
142,-0.223
144,-0.223
146,-0.223
148,-0.223
150,-0.223
152,-0.223
154,-0.223
156,-0.223
158,-0.223
160,-0.223
162,-0.223
164,-0.223
166,-0.223
168,-0.223
170,-0.223
172,-0.223
174,-0.223
176,-0.223
178,-0.223
180,-0.223
182,-0.223
184,-0.223
186,-0.223
188,-0.223
190,-0.223
192,-0.223
194,-0.223
196,-0.223
198,-0.223
200,-0.223
202,-0.223
204,-0.223
206,-0.223
208,-0.223
210,-0.223
212,-0.223
214,-0.223
216,-0.223
218,-0.223
220,-0.223
222,-0.223
224,-0.223
226,-0.223
228,-0.223
230,-0.223
232,-0.223
234,-0.223
236,-0.223
238,-0.223
240,-0.223
242,-0.223
244,-0.223
246,-0.223
248,-0.223
250,-0.223
252,-0.223
254,-0.223
256,-1.099
258,-1.099
260,-1.099
262,-1.099
264,-1.099
266,-1.099
268,-1.099
270,-1.099
272,-1.099
274,-1.099
276,-1.099
278,-1.099
280,-1.099
282,-1.099
284,-1.099
286,-1.099
288,-1.099
290,-1.099
292,-1.099
294,-1.099
296,-1.099
298,-1.099
300,-1.099
302,-1.099
304,-1.099
306,-1.099
308,-1.099
310,-1.099
312,-1.099
314,-1.099
316,-1.099
318,-1.099
320,-1.099
322,-1.099
324,-1.099
326,-1.099
328,-1.099
330,-1.099
332,-1.099
334,-1.099
336,-1.099
338,-1.099
340,-1.099
342,-1.099
344,-1.099
346,-1.099
348,-1.099
350,-1.099
352,-1.099
354,-1.099
356,-1.099
358,-1.099
360,-1.099
362,-1.099
364,-1.099
366,-1.099
368,-1.099
370,-1.099
372,-1.099
374,-1.099
376,-1.099
378,-1.099
380,-1.099
382,-1.099
384,-1.587
386,-1.587
388,-1.587
390,-1.587
392,-1.587
394,-1.587
396,-1.587
398,-1.587
400,-1.587
402,-1.587
404,-1.587
406,-1.587
408,-1.587
410,-1.587
412,-1.587
414,-1.587
416,-1.587
418,-1.587
420,-1.587
422,-1.587
424,-1.587
426,-1.587
428,-1.587
430,-1.587
432,-1.587
434,-1.587
436,-1.587
438,-1.587
440,-1.587
442,-1.587
444,-1.587
446,-1.587
448,-1.587
450,-1.587
452,-1.587
454,-1.587
456,-1.587
458,-1.587
460,-1.587
462,-1.587
464,-1.587
466,-1.587
468,-1.587
470,-1.587
472,-1.587
474,-1.587
476,-1.587
478,-1.587
480,-1.587
482,-1.587
484,-1.587
486,-1.587
488,-1.587
490,-1.587
492,-1.587
494,-1.587
496,-1.587
498,-1.587
500,-1.587
502,-1.587
504,-1.587
506,-1.587
508,-1.587
510,-1.587
512,-0.339
514,-0.339
516,-0.339
518,-0.339
520,-0.339
522,-0.339
524,-0.339
526,-0.339
528,-0.339
530,-0.339
532,-0.339
534,-0.339
536,-0.339
538,-0.339
540,-0.339
542,-0.339
544,-0.339
546,-0.339
548,-0.339
550,-0.339
552,-0.339
554,-0.339
556,-0.339
558,-0.339
560,-0.339
562,-0.339
564,-0.339
566,-0.339
568,-0.339
570,-0.339
572,-0.339
574,-0.339
576,-0.339
578,-0.339
580,-0.339
582,-0.339
584,-0.339
586,-0.339
588,-0.339
590,-0.339
592,-0.339
594,-0.339
596,-0.339
598,-0.339
600,-0.339
602,-0.339
604,-0.339
606,-0.339
608,-0.339
610,-0.339
612,-0.339
614,-0.339
616,-0.339
618,-0.339
620,-0.339
622,-0.339
624,-0.339
626,-0.339
628,-0.339
630,-0.339
632,-0.339
634,-0.339
636,-0.339
638,-0.339
640,-1.744
642,-1.744
644,-1.744
646,-1.744
648,-1.744
650,-1.744
652,-1.744
654,-1.744
656,-1.744
658,-1.744
660,-1.744
662,-1.744
664,-1.744
666,-1.744
668,-1.744
670,-1.744
672,-1.744
674,-1.744
676,-1.744
678,-1.744
680,-1.744
682,-1.744
684,-1.744
686,-1.744
688,-1.744
690,-1.744
692,-1.744
694,-1.744
696,-1.744
698,-1.744
700,-1.744
702,-1.744
704,-1.744
706,-1.744
708,-1.744
710,-1.744
712,-1.744
714,-1.744
716,-1.744
718,-1.744
720,-1.744
722,-1.744
724,-1.744
726,-1.744
728,-1.744
730,-1.744
732,-1.744
734,-1.744
736,-1.744
738,-1.744
740,-1.744
742,-1.744
744,-1.744
746,-1.744
748,-1.744
750,-1.744
752,-1.744
754,-1.744
756,-1.744
758,-1.744
760,-1.744
762,-1.744
764,-1.744
766,-1.744
768,-1.394
770,-1.394
772,-1.394
774,-1.394
776,-1.394
778,-1.394
780,-1.394
782,-1.394
784,-1.394
786,-1.394
788,-1.394
790,-1.394
792,-1.394
794,-1.394
796,-1.394
798,-1.394
800,-1.394
802,-1.394
804,-1.394
806,-1.394
808,-1.394
810,-1.394
812,-1.394
814,-1.394
816,-1.394
818,-1.394
820,-1.394
822,-1.394
824,-1.394
826,-1.394
828,-1.394
830,-1.394
832,-1.394
834,-1.394
836,-1.394
838,-1.394
840,-1.394
842,-1.394
844,-1.394
846,-1.394
848,-1.394
850,-1.394
852,-1.394
854,-1.394
856,-1.394
858,-1.394
860,-1.394
862,-1.394
864,-1.394
866,-1.394
868,-1.394
870,-1.394
872,-1.394
874,-1.394
876,-1.394
878,-1.394
880,-1.394
882,-1.394
884,-1.394
886,-1.394
888,-1.394
890,-1.394
892,-1.394
894,-1.394
896,1.400
898,1.400
900,1.400
902,1.400
904,1.400
906,1.400
908,1.400
910,1.400
912,1.400
914,1.400
916,1.400
918,1.400
920,1.400
922,1.400
924,1.400
926,1.400
928,1.400
930,1.400
932,1.400
934,1.400
936,1.400
938,1.400
940,1.400
942,1.400
944,1.400
946,1.400
948,1.400
950,1.400
952,1.400
954,1.400
956,1.400
958,1.400
960,1.400
962,1.400
964,1.400
966,1.400
968,1.400
970,1.400
972,1.400
974,1.400
976,1.400
978,1.400
980,1.400
982,1.400
984,1.400
986,1.400
988,1.400
990,1.400
992,1.400
994,1.400
996,1.400
998,1.400
1000,1.400
1002,1.400
1004,1.400
1006,1.400
1008,1.400
1010,1.400
1012,1.400
1014,1.400
1016,1.400
1018,1.400
1020,1.400
1022,1.400
